?cls,?mondo_label,?definition,?gene,?gene_label
<http://purl.obolibrary.org/obo/MONDO_0008485>,sebocystomatosis,"Sebocystomatosis is characterized by multiple (100 to 2000) asymptomatic dermal cysts that usually occur on the sternal region, upper back, axillae and proximal parts of the extremities.",<http://identifiers.org/hgnc/6427>,KRT17
<http://purl.obolibrary.org/obo/MONDO_0012099>,AICA-ribosiduria,"AICA-ribosiduria is an extremely severe inborn error of purine biosynthesis characterized clinically in the single reported case to date by profound intellectual deficit, epilepsy, dysmorphic features of the knees, elbows, and shoulders and congenital blindness.",<http://identifiers.org/hgnc/794>,ATIC
<http://purl.obolibrary.org/obo/MONDO_0013840>,encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome,"Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome is a rare mitochondrial disease due to a defect in coenzyme Q10 biosynthesis that manifests with a broad spectrum of signs and symptoms which may include: neonatal lactic acidosis, global developmental delay, tonus disorder, seizures, reduced spontaneous movements, ventricular hypertrophy, bradycardia, renal tubular dysfunction with massive lactic acid excretion in urine, severe biochemical defect of respiratory chain complexes II/III when assayed together and deficiency of coenzyme Q10 in skeletal muscle. Cerebral and cerebellar atrophy can be seen on magnetic resonance imaging and multiple choroid plexus cysts and symmetrical hyperechoic signal alterations in basal ganglia have been observed on ultrasound.",<http://identifiers.org/hgnc/25302>,COQ9
<http://purl.obolibrary.org/obo/MONDO_0010709>,early-onset parkinsonism-intellectual disability syndrome,"A basal ganglia disorder characterized by Parkinsonian-type symptoms (postural changes, tremor, rigidity), megalencephaly and variable intellectual deficit. Other signs are frontal bossing, persistent frontal lobe reflexes, strabismus and seizures. It has been described in three generations of one family. Transmission is X-linked, and the gene is located on chromosomal region Xq27.3-qter.",<http://identifiers.org/hgnc/16499>,RAB39B
<http://purl.obolibrary.org/obo/MONDO_0010665>,Wilson-Turner syndrome,"A very rare genetic disease characterized by intellectual disability, truncal obesity, gynecomastia, hypogonadism, dysmorphic facial features, and short stature.",<http://identifiers.org/hgnc/25726>,LAS1L
<http://purl.obolibrary.org/obo/MONDO_0800443>,DEAF1-associated neurodevelopmental disorder,"A neurodevelopmental disorder characterized predominantly by intellectual disability, speech delay, motor delay, autism, sleep disturbances, and a high pain threshold. This disorder may be inherited in an autosomal dominant or autosomal recessive manner, likely due to mono-allelic variant resulting in altered function and bi-allelic variants resulting in loss of function, respectively.",<http://identifiers.org/hgnc/14677>,DEAF1
<http://purl.obolibrary.org/obo/MONDO_0800441>,"NKX2.5-related congenital, conduction and myopathic heart disease","A heart disease that includes congenital heart defects, abnormal cardiac conduction or myopathy. Congenital heart defects consists of any heart disease that is present at birth. Representative examples include atrial septal defect, ventricular septal defect, tetralogy of Fallot, and hypoplastic left heart syndrome.",<http://identifiers.org/hgnc/2488>,NKX2-5
<http://purl.obolibrary.org/obo/MONDO_0014788>,autosomal recessive limb-girdle muscular dystrophy type 2W,"Autosomal recessive limb-girdle muscular dystrophy type 2W is a subtype of autosomal recessive limb girdle muscular dystrophy characterized by childhood onset of severe, progressive, proximal skeletal muscle weakness and atrophy of the upper and lower limbs with later involvement of distal muscles and development of severe quadraparesis, calf hypertrophy, triangular tongue, and dilated cardiomyopathy. Skeletal muscles undergo diffuse, bilateral, symmetric and severe atrophy with fat infiltration.",<http://identifiers.org/hgnc/16084>,LIMS2
<http://purl.obolibrary.org/obo/MONDO_0013310>,congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency,"Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency is a unique form of congenital adrenal hyperplasia (CAH) characterized by glucocorticoid deficiency, severe sexual ambiguity in both sexes and skeletal (especially craniofacial) malformations.",<http://identifiers.org/hgnc/9208>,POR
<http://purl.obolibrary.org/obo/MONDO_0012530>,palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome,"Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome is characterized by sex reversal in males with a 46, XX (SRY-negative) karyotype, palmoplantar hyperkeratosis and a predisposition to squamous cell carcinoma. To date, five cases (four of whom were brothers) have been described. The etiology is unknown.",<http://identifiers.org/hgnc/21679>,RSPO1
<http://purl.obolibrary.org/obo/MONDO_0014764>,spastic paraplegia-severe developmental delay-epilepsy syndrome,"Spastic paraplegia-severe developmental delay-epilepsy syndrome is a rare, genetic, complex spastic paraplegia disorder characterized by an infantile-onset of psychomotor developmental delay with severe intellectual disability and poor speech acquisition, associated with seizures (mostly myoclonic), muscular hypotonia which may be noted at birth, and slowly progressive spasticity in the lower limbs leading to severe gait disturbances. Ocular abnormalities and incontinence are commonly associated. Other symptoms may include verbal dyspraxia, hypogenitalism, macrocephaly and sensorineural hearing loss, as well as dystonic movements and ataxia with upper limb involvement.",<http://identifiers.org/hgnc/21033>,HACE1
<http://purl.obolibrary.org/obo/MONDO_0012548>,Kostmann syndrome,"Kostmann syndrome is a rare, severe, congenital neutropenia disorder characterized by a lack of mature neutrophils (absolute neutrophil counts less than 500 cells/mm3) associated with frequent, recurrent bacterial infections (e.g. otitis media, pneumonia, sinusitis, urinary tract infections, abscesses of skin and/or liver) and increased promyelocytes in the bone marrow. Periodontal disease, as well as neurological symptoms, such as cognitive impairment, severe neurodegeneration and epilepsy, have been reported in some patients.",<http://identifiers.org/hgnc/16915>,HAX1
<http://purl.obolibrary.org/obo/MONDO_0007726>,"hip dysplasia, Beukes type","Beukes familial hip dysplasia (BFHD) is a primary bone dysplasia, characterized by premature degenerative arthropathy of the hip. The disease presents with hip joint discomfort/pain and gait disturbances that usually develops in childhood and that progresses to severe functional disability and limited mobility by early adulthood. Involvement of the vertebral bodies and other joints is minimal, height is not significantly reduced, and general health is unimpaired. Radiographically, the femoral heads are flattened and irregular and degenerative osteoarthritis develops in the hip joints, as evidenced by the presence of periarticular cysts, sclerosis, and joint space narrowing.",<http://identifiers.org/hgnc/25640>,UFSP2
<http://purl.obolibrary.org/obo/MONDO_0009315>,congenital factor XII deficiency,"Congenital factor XII deficiency is an autosomal recessive systemic dysfunction of the hemostatic pathway, that is due to a defect in the coagulation factor XII (FXII or Hageman factor), and is either asymptomatic or characterized by a prolonged activated partial thromboplastin time and an increased risk for thromboembolism. FXII deficiency is strongly associated with primary recurrent abortions.",<http://identifiers.org/hgnc/3530>,F12
<http://purl.obolibrary.org/obo/MONDO_0008828>,camptodactyly-arthropathy-coxa vara-pericarditis syndrome,"Camptodactyly-arthropathy-coxa-vara-pericarditis (CACP) syndrome is a rare, genetic, rheumatologic disease characterized by congenital or early-onset camptodactyly and symmetrical, polyarticular, non-inflammatory, large joint arthropathy with synovial hyperplasia, as well as progressive coxa vara deformity and, occasionally, non-inflammatory pericarditis.",<http://identifiers.org/hgnc/9364>,PRG4
<http://purl.obolibrary.org/obo/MONDO_0012073>,ribose-5-P isomerase deficiency,"Ribose-5-P isomerase deficiency is an extremely rare, hereditary, disorder of pentose phosphate metabolism characterized by progressive leukoencephalopathy and a highly increased ribitol and D-arabitol levels in the brain and body fluids. Clinical presentation includes psychomotor delay, epilepsy, and childhood-onset slow neurological regression with ataxia, spasticity, optic atrophy and sensorimotor neuropathy.",<http://identifiers.org/hgnc/10297>,RPIA
<http://purl.obolibrary.org/obo/MONDO_0014148>,estrogen resistance syndrome,"Estrogen resistance syndrome is a rare, genetic endocrine disease characterized by estrogen-receptor insensitivity to estrogens and the presence of elevated estrogen and gonadotropin serum levels. Clinical manifestations include absent breast development and primary amenorrhea in association with multicystic ovaries and/or hypoplastic uterus in female patients, normal or abnormal gonadal development in male patients and markedly delayed bone maturation, persistence of open epiphyses, reduced bone mineral density, and variable tall stature in both sexes. Glucose intolerance, hyperinsulinemia and lipid abnormalities may also be present.",<http://identifiers.org/hgnc/3467>,ESR1
<http://purl.obolibrary.org/obo/MONDO_0013008>,combined immunodeficiency due to STIM1 deficiency,"Aform of combined immunodeficiency due to Calcium release activated Ca2+(CRAC) channel dysfunction characterized by recurrent infections, autoimmunity, congenital myopathy and ectodermal dysplasia.",<http://identifiers.org/hgnc/11386>,STIM1
<http://purl.obolibrary.org/obo/MONDO_0010570>,craniofrontonasal syndrome,"An X-linked malformation syndrome characterized by facial asymmetry (particularly orbital), body asymmetry, midline defects (hypertelorism, frontal bossing, broad grooved or bifid nasal tip, cleft lip and/or palate, high arched palate), skeletal anomalies (clavicle pseudoarthrosis, coronal craniosynostosis, various digital and limb anomalies including syndactyly, clinodactyly of the 5th finger, broad thumbs) and ectodermal dysplasias (dental anomalies, grooved nails, wiry hair). Contrary to most X-linked disorders, females are much more severely affected whereas males are asymptomatic or present with a mild phenotype, frequently only displaying hypertelorism.",<http://identifiers.org/hgnc/3226>,EFNB1
<http://purl.obolibrary.org/obo/MONDO_0100165>,permanent neonatal diabetes mellitus 1,A rare autosomal recessive disorder characterized by severe hyperglycemia which requires insulin treatment soon after birth. The disorder results from a complete lack of glucokinase; total absence of basal insulin release was observed as well.,<http://identifiers.org/hgnc/4195>,GCK
<http://purl.obolibrary.org/obo/MONDO_0013599>,autoimmune enteropathy and endocrinopathy - susceptibility to chronic infections syndrome,"Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome is an extremely rare, autosomal dominant immunological disorder characterized by variable enteropathy, endocrine disorders (e.g. type 1 diabetes mellitus, hypothyroidism), immune dysregulation with pulmonary and blood-borne bacterial infections, and fungal infections (chronic mucocutaneous candidiasis) developing in infancy. Other manifestations include short stature, eczema, hepatosplenomegaly, delayed puberty, and osteoporosis/osteopenia.",<http://identifiers.org/hgnc/11362>,STAT1
<http://purl.obolibrary.org/obo/MONDO_0011972>,ovarian hyperstimulation syndrome,"A complication of ovulation induction in infertility treatment. It is graded by the severity of symptoms which include ovary enlargement, multiple ovarian follicles; ovarian cysts; ascites; and generalized edema. The full-blown syndrome may lead to renal failure, respiratory distress, and even death. Increased capillary permeability is caused by the vasoactive substances, such as vascular endothelial growth factors, secreted by the overly-stimulated ovaries.",<http://identifiers.org/hgnc/3969>,FSHR
<http://purl.obolibrary.org/obo/MONDO_0007818>,"hyper-IgE recurrent infection syndrome 1, autosomal dominant",A condition of decreased or absent presence or activity of signal transducer and activator of transcription 3 protein. Deficiency of this protein is associated with hyper-IgE syndrome.,<http://identifiers.org/hgnc/11364>,STAT3
<http://purl.obolibrary.org/obo/MONDO_0009115>,congenital lactase deficiency,Congenital lactase deficiency is a rare severe gastrointestinal disorder in newborns primarily reported in Finland and characterized clinically by watery diarrhea on feeding with breast-milk or lactose-containing formula.,<http://identifiers.org/hgnc/6530>,LCT
<http://purl.obolibrary.org/obo/MONDO_0100156>,Imerslund-Grasbeck syndrome type 1,"An autosomal recessive disorder characterized by onset of megaloblastic anemia associated with decreased serum vitamin B12 (cobalamin, Cbl) in infancy or early childhood. Low molecular weight (LMW) proteinuria is frequently present, but sometimes occurs later and is usually mild or subclinical. Patients often present with vague symptoms, including failure to thrive, loss of appetite, fatigue, lethargy, and/or recurrent infections. Some patients may present later in childhood with neurologic abnormalities related to B12 deficiency, such as sensorimotor neuropathy and/or cognitive disturbances.",<http://identifiers.org/hgnc/2548>,CUBN
<http://purl.obolibrary.org/obo/MONDO_0008610>,blue color blindness,Tritanopia is an extremely rare form of color blindness characterized by a selective deficiency of blue vision.,<http://identifiers.org/hgnc/1012>,OPN1SW
<http://purl.obolibrary.org/obo/MONDO_0007669>,renal cysts and diabetes syndrome,"Renal cysts and diabetes syndrome (RCAD) is a rare form of maturity-onset diabetes of the young (MODY) characterized clinically by heterogeneous cystic renal disease and early-onset familial non-autoimmune diabetes. Pancreatic atrophy, liver dysfunction and genital tract anomalies are also features of the syndrome.",<http://identifiers.org/hgnc/11630>,HNF1B
<http://purl.obolibrary.org/obo/MONDO_0011244>,Marshall-Smith syndrome,Marshall-Smith syndrome is a rare genetic disease characterized by tall stature and advanced bone age at birth.,<http://identifiers.org/hgnc/7788>,NFIX
<http://purl.obolibrary.org/obo/MONDO_0012120>,pyruvate dehydrogenase phosphatase deficiency,Pyruvate dehydrogenase phosphatase deficiency is a very rare subtype of pyruvate dehydrogenase deficiency (PDHD) characterized by lactic acidemia in the neonatal period.,<http://identifiers.org/hgnc/9279>,PDP1
<http://purl.obolibrary.org/obo/MONDO_0009372>,encephalopathy due to hydroxykynureninuria,"Encephalopathy due to hydroxykynureninuria is characterized by psychomotor retardation and nonprogressive encephalopathy associated with urinary excretion of large amounts of kynurenine, 3-hydroxykynurenine, and xanthurenic acid. It has been described in less than 30 patients. Other manifestations may include muscular hypertonia, headaches and stereotyped gestures. This disorder is transmitted as an autosomal recessive trait. It is caused by a defect in kynureninase, an enzyme of the tryptophane catabolic pathway.",<http://identifiers.org/hgnc/6469>,KYNU
<http://purl.obolibrary.org/obo/MONDO_0007201>,"blepharophimosis, ptosis, and epicanthus inversus syndrome","Blepharophimosis, Ptosis, and Epicanthus Inversus syndrome (BPES) is an ophthalmic disorder characterized by blepharophimosis, ptosis, epicanthus inversus, and telecanthus, that can appear associated with (type I) or without premature ovarian failure (POF) (type II).",<http://identifiers.org/hgnc/1092>,FOXL2
<http://purl.obolibrary.org/obo/MONDO_0009461>,spermatogenic failure 5,"Male infertility due to large-headed multiflagellar polypoid spermatozoa is a male infertility due to sperm disorder characterized by the presence, in sperm, of a very high percentage of spermatozoa with enlarged head, irregular head shape, multiple flagella, and abnormal midpiece and acrosome. It is generally associated with severe oligoasthenozoospermia and a high rate of sperm chromosomal abnormalities (polyploidy, aneuploidy).",<http://identifiers.org/hgnc/11391>,AURKC
<http://purl.obolibrary.org/obo/MONDO_0012520>,insulin-resistance syndrome type A,"Type A insulin-resistance syndrome belongs to the group of extreme insulin-resistance syndromes (which includes leprechaunism, the lipodystrophies, Rabson-Mendenhall syndrome and type B insulin resistance syndrome) and is characterized by the triad of hyperinsulinemia, acanthosis nigricans (skin lesions associated with insulin resistance), and signs of hyperandrogenism in females without lipodystrophy and who are not overweight.",<http://identifiers.org/hgnc/6091>,INSR
<http://purl.obolibrary.org/obo/MONDO_0011911>,craniolenticulosutural dysplasia,"Craniolenticulosutural dysplasia (CLSD), also known as Boyadjiev-Jabs syndrome, is characterized by the specific association of large and late-closing fontanels, hypertelorism, early-onset cataract and mild generalized skeletal dysplasia.",<http://identifiers.org/hgnc/10701>,SEC23A
<http://purl.obolibrary.org/obo/MONDO_0009370>,L-2-hydroxyglutaric aciduria,"L-2-hydroxyglutaric aciduria is a primarily neurological form of 2-hydroxyglutaric aciduria characterized by psychomotor retardation, cerebellar ataxia and variable macrocephaly or epilepsy.",<http://identifiers.org/hgnc/20499>,L2HGDH
<http://purl.obolibrary.org/obo/MONDO_0010171>,Usher syndrome type 1C,A form of Usher syndrome type I that is caused by homozygous or compound heterozygous mutation in the gene encoding harmonin on chromosome 11p15. It is inherited in an autosomal recessive manner.,<http://identifiers.org/hgnc/12597>,USH1C
<http://purl.obolibrary.org/obo/MONDO_0014448>,"hyperthyroxinemia, familial dysalbuminemic","An inherited autosomal dominant trait characterized by abnormally elevated levels of total serum thyroxine; (T4) in euthyroid patients with abnormal serum albumin that binds T4 with enhanced affinity. The serum levels of free T4, free T3, and tsh are normal. It is one of several T4 abnormalities produced by non-thyroid disorder. This condition is due to mutations of the alb gene on chromosome 4.",<http://identifiers.org/hgnc/399>,ALB
<http://purl.obolibrary.org/obo/MONDO_0008702>,achondrogenesis type II,"Achondrogenesis type 2 (ACG2), a form of achondrogenesis, is a very rare and lethal skeletal dysplasia and part of the spectrum of type 2 collagen-related bone disorders, characterizedby severe micromelia, short neck with large head, small thorax, protuberant abdomen, underdeveloped lungs, distinctive facial features such as a prominent forehead, a small chin, a cleft palate (in some) and distinctive histological features of the cartilage.",<http://identifiers.org/hgnc/2200>,COL2A1
<http://purl.obolibrary.org/obo/MONDO_0013316>,occult macular dystrophy,"Occult macular dystrophy is a rare, genetic retinal dystrophy disease characterized by bilateral progressive decline of visual acuity, due to retinal dysfunction confined only to the macula, associated with normal fundus and fluorescein angiograms and severly attenuated focal macular and multifocal electroretinograms.",<http://identifiers.org/hgnc/15946>,RP1L1
<http://purl.obolibrary.org/obo/MONDO_0012514>,hypomyelinating leukodystrophy 5,"Hypomyelination-congenital cataract is characterized by the onset of cataract either at birth or in the first two months of life, delayed psychomotor development by the end of the first year of life and moderate intellectual deficit.",<http://identifiers.org/hgnc/24587>,HYCC1
<http://purl.obolibrary.org/obo/MONDO_0008157>,Buschke-Ollendorff syndrome,Buschke-Ollendorff syndrome (BOS) is a benign disorder characterized by the association of osteopoikilosis lesions (``spotted bones'') in the skeleton and connective tissue nevi in the skin.,<http://identifiers.org/hgnc/28887>,LEMD3
<http://purl.obolibrary.org/obo/MONDO_0010044>,hereditary spastic paraplegia 15,"Autosomal recessive spastic paraplegia type 15 is a complex form of hereditary spastic paraplegia characterized by a childhood to adulthood onset of slowly progressive lower limb spasticity (resulting in gait disturbance, extensor plantar responses and decreased vibration sense) associated with mild intellectual disability, mild cerebellar ataxia, peripheral neuropathy (with distal upper limb amyotrophy) and retinal degeneration. Thin corpus callosum is a common imaging finding.",<http://identifiers.org/hgnc/20761>,ZFYVE26
<http://purl.obolibrary.org/obo/MONDO_0007342>,clubfoot,"The most common congenital deformation of the foot, occurring in 1 of 1,000 live births. The most common form is talipes equinovarus, where the deformed foot is turned downward and inward sharply.",<http://identifiers.org/hgnc/9004>,PITX1
<http://purl.obolibrary.org/obo/MONDO_0009727>,atelosteogenesis type II,"A lethal perinatal bone dysplasia characterized by limb shortening, normal sized skull with cleft palate, hitchhiker thumbs, distinctive facial dysmorphism and radiographic skeletal features, caused by mutations in the diastrophic dysplasia sulfate transporter gene.",<http://identifiers.org/hgnc/10994>,SLC26A2
<http://purl.obolibrary.org/obo/MONDO_0013991>,obesity due to congenital leptin deficiency,Congenital leptin deficiency is a form of monogenic obesity characterized by severe early-onset obesity and marked hyperphagia.,<http://identifiers.org/hgnc/6553>,LEP
<http://purl.obolibrary.org/obo/MONDO_0007057>,Acroosteolysis dominant type,"A rare genetic osteolysis syndrome characterized by acroosteolysis of distal phalanges and generalized osteoporosis, associated with additional ossification anomalies, craniofacial dysmorphism, dental anomalies and a wide range of other characteristics.",<http://identifiers.org/hgnc/7882>,NOTCH2
<http://purl.obolibrary.org/obo/MONDO_0008294>,acute intermittent porphyria,Acute intermittent porphyria is the most frequent and the most severe form of the acute hepatic porphyrias. It is characterized by the occurrence of neuro-visceral attacks without cutaneous manifestations.,<http://identifiers.org/hgnc/4982>,HMBS
<http://purl.obolibrary.org/obo/MONDO_0007374>,Schnyder corneal dystrophy,"Schnyder corneal dystrophy (SCD) is a rare form of stromal corneal dystrophy characterized by corneal clouding or crystals within the corneal stroma, and a progressive decrease in visual acuity.",<http://identifiers.org/hgnc/30791>,UBIAD1
<http://purl.obolibrary.org/obo/MONDO_0013227>,congenital plasminogen activator inhibitor type 1 deficiency,Congenital plasminogen activator inhibitor type 1 (PAI-1) deficiency is a rare genetic bleeding disorder characterized by premature lysis of hemostatic clots and a moderate bleeding tendency.,<http://identifiers.org/hgnc/8583>,SERPINE1
<http://purl.obolibrary.org/obo/MONDO_0007636>,frontorhiny,"Frontorhiny is a distinct syndromic type of frontonasal malformation characterized by hypertelorism, wide nasal bridge, broad columella, widened philtrum, widely separated narrow nares, poor development of nasal tip, midline notch of the upper alveolus, columella base swellings and a low hairline. Additional features reported in some include upper eyelid ptosis and midline dermoid cysts of craniofacial structures and philtral pits or rugose folding behind the ears. An autosomal recessive inheritance has been proposed.",<http://identifiers.org/hgnc/449>,ALX3
<http://purl.obolibrary.org/obo/MONDO_0013818>,trichohepatoenteric syndrome 2,Any tricho-hepato-enteric syndrome in which the cause of the disease is a mutation in the SKIV2L gene.,<http://identifiers.org/hgnc/10898>,SKIC2
<http://purl.obolibrary.org/obo/MONDO_0012734>,SERKAL syndrome,"SERKAL (SEx Reversion, Kidneys, Adrenal and Lung dysgenesis) syndrome is characterized by female to male sex reversal and developmental anomalies of the kidneys, adrenal glands and lungs.",<http://identifiers.org/hgnc/12783>,WNT4
<http://purl.obolibrary.org/obo/MONDO_0014449>,congenital analbuminemia,Congenital analbuminemia (CAA) is characterized by the absence or dramatic reduction of circulating human serum albumin (HSA).,<http://identifiers.org/hgnc/399>,ALB
<http://purl.obolibrary.org/obo/MONDO_0012215>,myofibrillar myopathy 3,"A rare, late adult-onset myofibrillar myopathy characterized by progressive distal muscle weakness associated with peripheral neuropathy and hyporeflexia. Ambulation may be lost within a few years.",<http://identifiers.org/hgnc/12399>,MYOT
<http://purl.obolibrary.org/obo/MONDO_0007301>,cerebrocostomandibular syndrome,"Cerebro-costo-mandibular syndrome (CCMS) is characterized at birth by posterior rib gaps and orofacial anomalies reminiscent of Pierre Robin syndrome that include palatal defects (short hard palate, absent soft palate, absent uvula), micrognathia and glossoptosis.",<http://identifiers.org/hgnc/11153>,SNRPB
<http://purl.obolibrary.org/obo/MONDO_0007343>,isolated congenital digital clubbing,Isolated congenital digital clubbing is a rare genodermatosis disorder characterized by enlargement of the terminal segments of fingers and toes with thickened nails without any other abnormality.,<http://identifiers.org/hgnc/5154>,HPGD
<http://purl.obolibrary.org/obo/MONDO_0009020>,macular corneal dystrophy,"Macular corneal dystrophy (MCD) is a rare, severe form of stromal corneal dystrophy characterized by bilateral ill-defined cloudy regions within a hazy stroma, and eventually severe visual impairment.",<http://identifiers.org/hgnc/6938>,CHST6
<http://purl.obolibrary.org/obo/MONDO_0010653>,Renpenning syndrome,"An X-linked syndrome characterized by intellectual deficiency, microcephaly, leanness and mild short stature.",<http://identifiers.org/hgnc/9330>,PQBP1
<http://purl.obolibrary.org/obo/MONDO_0008270>,polydactyly of a triphalangeal thumb,"A form of preaxial polydactyly of fingers, a limb malformation syndrome, that is characterized by the presence of a usually opposable triphalangeal thumb with or without additional duplication of one or more skeletal components of the thumb. The thumb appearance can differ widely in shape (wedge to rectangular) or it can be deviated in the radio-ulnar plane (clinodactyly). PPD2 is also associated with systemic syndromes, including Holt-Oram syndrome and Fanconi anemia.",<http://identifiers.org/hgnc/13243>,LMBR1
<http://purl.obolibrary.org/obo/MONDO_0007510>,Clouston syndrome,"Clouston syndrome (or hidrotic ectodermal dysplasia) is characterized by the clinical triad of nail dystrophy, alopecia, and palmoplantar hyperkeratosis.",<http://identifiers.org/hgnc/4288>,GJB6
<http://purl.obolibrary.org/obo/MONDO_0012552>,multiple endocrine neoplasia type 4,"Multiple endocrine neoplasia type 4 (MEN4) is a very rare form of MEN, an inherited cancer syndrome, characterized by parathyroid and anterior pituitary tumors, possibly associated with adrenal, renal, and reproductive organ tumors.",<http://identifiers.org/hgnc/1785>,CDKN1B
<http://purl.obolibrary.org/obo/MONDO_0012198>,PCWH syndrome,"A syndrome characterized by the association of the features of Waardenburg-Shah syndrome (WSS) (sensorineural hearing loss, pigmentary abnormalities and Hirschsprung disease) with neurological features, namely, neonatal hypotonia, intellectual deficit (of variable severity), nystagmus, progressive spasticity, ataxia and epilepsy.",<http://identifiers.org/hgnc/11190>,SOX10
<http://purl.obolibrary.org/obo/MONDO_0009287>,glycogen storage disease due to glucose-6-phosphatase deficiency type IA,"Glycogenosis due to glucose-6-phosphatase deficiency (G6P) type a, or glycogen storage disease (GSD) type 1a, is a type of glycogenosis due to G6P deficiency.",<http://identifiers.org/hgnc/4056>,G6PC1
<http://purl.obolibrary.org/obo/MONDO_0800039>,MELAS syndrome caused by mutation in MTND5,Any MELAS syndromein which the cause of the disease is a mutation in the MTND5 gene.,<http://identifiers.org/hgnc/7461>,MT-ND5
<http://purl.obolibrary.org/obo/MONDO_0012258>,"epidermolysis bullosa simplex 2E, with migratory circinate erythema",A basal subtype of epidermolysis bullosa simplex (EBS) characterized by belt-like areas of erythema with multiple vesicles and small blisters at the advancing edge of erythema.,<http://identifiers.org/hgnc/6442>,KRT5
<http://purl.obolibrary.org/obo/MONDO_0007552>,pretibial dystrophic epidermolysis bullosa,"Pretibial dystrophic epidermolysis bullosa is a rare subtype of dystrophic epidermolysis bullosa (DEB) characterized by the development of blisters, erosions, and lichenoid lesions predominantly in the pretibial region.",<http://identifiers.org/hgnc/2214>,COL7A1
